,Country,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,Total_Tests
1,World,1865933,14429,115256,1075,433091,1317242,50800,14797950
2,USA,560433,133,22115,10,32634,505684,11766,2833112
3,Spain,169496,2665,17489,280,64727,87280,7371,600000
4,Italy,156363,0,19899,0,34211,102253,3343,1010193
5,France,132591,0,14393,0,27186,91012,6845,333807
6,Germany,127854,0,3022,0,64300,60532,4895,1317887
7,UK,84279,0,10612,0,0,73323,1559,352974
8,China,82160,108,3341,2,77663,1156,121,0
9,Iran,73303,1617,4585,111,45983,22735,3877,275427
10,Turkey,56956,0,1198,0,3446,52312,1665,376100
11,Belgium,30589,942,3903,303,6707,19979,1234,102151
12,Netherlands,26551,964,2823,86,250,23478,1384,115992
13,Switzerland,25503,88,1117,11,12700,11686,386,193800
14,Canada,24383,0,717,0,7172,16494,557,422200
15,Brazil,22318,126,1241,18,173,20904,296,62985
16,Russia,18328,2558,148,18,1470,16710,8,1300000
17,Portugal,16934,349,535,31,277,16122,188,163616
18,Austria,13998,53,368,18,7343,6287,239,148412
19,Israel,11235,90,110,7,1689,9436,181,117339
20,Sweden,10948,465,919,20,381,9648,859,54700
21,S. Korea,10537,25,217,3,7447,2873,55,514621
22,Ireland,9655,0,334,0,25,9296,194,72000
23,India,9240,35,331,0,1096,7813,0,189111
24,Peru,7519,0,193,0,1798,5528,134,76506
25,Ecuador,7466,0,333,0,501,6632,184,23635
26,Japan,7370,0,123,0,784,6463,129,77381
27,Chile,7213,0,80,0,2059,5074,387,82271
28,Poland,6674,0,232,0,439,6003,160,138007
29,Romania,6633,333,318,2,914,5401,231,67204
30,Norway,6525,0,128,0,32,6365,59,126486
31,Australia,6359,46,61,2,3494,2804,79,362136
32,Denmark,6318,144,285,12,2235,3798,100,72099
33,Czechia,5991,0,139,1,467,5385,87,128359
34,Pakistan,5374,144,93,2,1095,4186,44,65114
35,Philippines,4932,284,315,18,242,4375,1,33814
36,Malaysia,4817,134,77,1,2276,2464,66,81730
37,Mexico,4661,442,296,23,1843,2522,185,36594
38,Indonesia,4557,316,399,26,380,3778,0,27075
39,Saudi Arabia,4462,0,59,0,761,3642,67,115585
40,UAE,4123,0,22,0,680,3421,1,648195
41,Serbia,3630,0,80,0,400,3150,146,18312
42,Panama,3400,0,87,0,29,3284,106,15147
43,Luxembourg,3281,0,66,0,500,2715,30,29165
44,Qatar,3231,252,7,0,334,2890,37,50828
45,Ukraine,3102,325,93,10,97,2912,45,30314
46,Finland,3064,90,59,3,300,2705,74,46000
47,Dominican Republic,2967,0,173,0,131,2663,147,9275
48,Belarus,2919,341,29,3,203,2687,55,68000
49,Colombia,2776,0,109,0,270,2397,92,41765
50,Thailand,2579,28,40,2,1288,1251,61,71860
51,Singapore,2532,0,8,0,560,1964,31,72680
52,Argentina,2208,66,95,5,468,1645,83,19758
53,South Africa,2173,0,25,0,410,1738,7,80085
54,Greece,2114,0,98,0,269,1747,76,42261
55,Egypt,2065,0,159,0,589,1317,0,25000
56,Algeria,1914,0,293,0,591,1030,60,3359
57,Morocco,1746,85,120,2,196,1430,1,8952
58,Iceland,1701,0,8,0,889,804,10,35253
59,Moldova,1662,0,35,4,107,1520,80,6271
60,Croatia,1650,50,25,2,400,1225,34,17790
61,Hungary,1458,48,109,10,120,1229,58,34819
62,Iraq,1352,0,76,0,640,636,0,35415
63,New Zealand,1349,19,5,1,546,798,4,62827
64,Bahrain,1348,212,6,0,591,751,4,65768
65,Estonia,1332,23,27,2,102,1203,9,30764
66,Kuwait,1300,66,2,1,150,1148,26,0
67,Slovenia,1212,7,55,2,152,1005,34,35405
68,Azerbaijan,1098,0,11,0,250,837,27,66677
69,Lithuania,1062,9,24,1,101,937,14,41503
70,Armenia,1039,26,14,1,211,814,30,7631
71,Bosnia and Herzegovina,1030,21,39,0,206,785,4,11612
72,Hong Kong,1010,5,4,0,397,609,13,96709
73,Kazakhstan,979,28,12,2,110,857,21,69304
74,Uzbekistan,896,31,4,0,70,822,8,70000
75,North Macedonia,854,26,38,4,44,772,15,8552
76,Cameroon,820,0,12,0,98,710,0,0
77,Bangladesh,803,182,39,5,42,722,1,11223
78,Slovakia,769,27,2,0,107,660,5,28750
79,Oman,727,128,4,0,124,599,3,0
80,Tunisia,707,0,31,0,43,633,89,11238
81,Bulgaria,676,1,31,2,71,574,36,18502
82,Cuba,669,0,18,0,92,559,11,15057
83,Afghanistan,665,58,21,3,32,612,0,0
84,Latvia,655,4,5,0,16,634,2,28776
85,Andorra,638,0,29,0,128,481,17,1673
86,Cyprus,633,0,11,0,65,557,8,17923
87,Lebanon,632,2,20,0,80,532,34,15408
88,Costa Rica,595,0,3,0,56,536,14,6762
89,Ivory Coast,574,0,5,0,85,484,0,0
90,Ghana,566,0,8,0,4,554,2,37954
91,Niger,529,0,12,0,75,442,0,4353
92,Burkina Faso,497,0,27,0,161,309,0,0
93,Uruguay,480,0,8,1,231,241,15,8774
94,Albania,467,21,23,0,232,212,7,4070
95,Channel Islands,431,0,9,0,48,374,0,3320
96,Kyrgyzstan,419,42,5,0,67,347,5,9618
97,Honduras,397,4,25,0,7,365,10,1600
98,Taiwan,393,5,6,0,114,273,0,47215
99,Réunion,389,0,0,0,40,349,3,0
100,Jordan,389,0,7,0,201,181,5,20500
101,Malta,384,6,3,0,44,337,4,18065
102,San Marino,356,0,35,0,53,268,14,846
103,Bolivia,330,30,27,3,2,301,3,2185
104,Mauritius,324,0,9,0,42,273,3,7077
105,Nigeria,323,0,10,0,85,228,2,5000
106,Senegal,291,11,2,0,178,111,1,0
107,Palestine,290,0,2,0,58,230,0,17329
108,Montenegro,273,1,3,0,5,265,7,2869
109,Georgia,266,9,3,0,67,196,6,3271
110,Vietnam,265,3,0,0,145,120,8,121821
111,Guinea,250,0,0,0,17,233,0,0
112,DRC,235,1,20,0,17,198,0,0
113,Isle of Man,232,4,2,0,131,99,13,2030
114,Sri Lanka,214,4,7,0,56,151,1,4525
115,Djibouti,214,0,2,0,36,176,0,4451
116,Kenya,197,0,8,0,25,164,2,7449
117,Mayotte,196,0,3,0,59,134,3,1350
118,Faeroe Islands,184,0,0,0,157,27,0,5509
119,Venezuela,181,0,9,0,93,79,6,181335
120,Martinique,157,2,6,0,50,101,19,0
121,Guatemala,155,0,5,0,19,131,3,1134
122,Paraguay,147,13,6,0,22,119,1,2262
123,Guadeloupe,143,0,8,0,67,68,13,0
124,El Salvador,137,12,6,0,22,109,2,6729
125,Brunei ,136,0,1,0,107,28,2,10167
126,Gibraltar,129,0,0,0,84,45,1,1558
127,Rwanda,126,0,0,0,25,101,0,1966
128,Cambodia,122,0,0,0,77,45,1,5768
129,Trinidad and Tobago,113,0,8,0,16,89,0,1126
130,Madagascar,106,0,0,0,20,86,1,0
131,Mali,105,0,9,0,22,74,0,0
132,Monaco,93,0,1,0,6,86,5,0
133,Aruba,92,0,0,0,32,60,1,1145
134,French Guiana,86,0,0,0,51,35,1,0
135,Liechtenstein,79,0,1,0,55,23,0,900
136,Togo,76,0,3,0,29,44,0,2532
137,Ethiopia,74,3,3,0,14,57,0,4110
138,Jamaica,72,0,4,0,16,52,0,907
139,Barbados,71,0,4,0,11,56,4,805
140,Congo,60,0,5,0,5,50,0,0
141,Bermuda,57,0,4,0,29,24,2,416
142,Gabon,57,8,1,0,1,55,0,0
143,Uganda,54,0,0,0,4,50,0,5025
144,Cayman Islands,53,0,1,0,6,46,3,536
145,French Polynesia,53,0,0,0,0,53,1,889
146,Liberia,50,0,5,0,4,41,0,0
147,Sint Maarten,50,0,9,0,5,36,2,134
148,Bahamas,47,1,8,0,6,33,1,0
149,Tanzania,46,14,3,0,7,36,0,0
150,Macao,45,0,0,0,10,35,1,0
151,Guyana,45,0,6,0,8,31,3,193
152,Zambia,43,0,2,0,30,11,1,1239
153,Myanmar,41,0,4,0,2,35,0,1406
154,Guinea-Bissau,38,0,0,0,0,38,0,1500
155,Benin,35,0,1,0,5,29,0,0
156,Eritrea,34,0,0,0,0,34,0,0
157,Haiti,33,0,3,0,0,30,0,365
158,Saint Martin,32,0,2,0,11,19,5,0
159,Somalia,25,0,2,1,2,21,2,0
160,Libya,25,0,1,0,9,15,0,535
161,Syria,25,0,2,0,5,18,0,0
162,Antigua and Barbuda,23,2,2,0,0,21,1,40
163,Equatorial Guinea,21,0,0,0,3,18,0,854
164,Mozambique,21,0,0,0,2,19,0,679
165,Maldives,20,0,0,0,14,6,0,0
166,Sudan,19,0,2,0,4,13,0,0
167,Angola,19,0,2,0,4,13,0,0
168,Laos,19,0,0,0,0,19,0,1140
169,Chad,18,0,0,0,2,16,0,0
170,New Caledonia,18,0,0,0,1,17,0,2608
171,Mongolia,17,1,0,0,4,13,0,0
172,Fiji,16,0,0,0,0,16,0,0
173,Namibia,16,0,0,0,3,13,0,362
174,Dominica,16,0,0,0,8,8,0,345
175,Saint Lucia,15,0,0,0,4,11,0,0
176,Grenada,14,0,0,0,0,14,2,92
177,Eswatini,14,0,0,0,7,7,0,0
178,Belize,14,0,2,0,0,12,1,364
179,Nepal,14,2,0,0,1,13,0,5184
180,Curaçao,14,0,1,0,8,5,0,0
181,Zimbabwe,14,0,3,0,0,11,0,563
182,Malawi,13,0,2,0,0,11,1,287
183,Botswana,13,0,1,0,0,12,0,3115
184,Saint Kitts and Nevis,12,0,0,0,0,12,0,216
185,St. Vincent Grenadines,12,0,0,0,1,11,0,56
186,CAR,11,3,0,0,3,8,0,0
187,Greenland,11,0,0,0,11,0,0,912
188,Montserrat,11,2,0,0,1,10,1,36
189,Seychelles,11,0,0,0,0,11,0,0
190,Cabo Verde,10,2,1,0,1,8,0,0
191,Sierra Leone,10,0,0,0,0,10,0,0
192,Suriname,10,0,1,0,4,5,0,0
193,Gambia,9,0,1,0,2,6,0,281
194,Nicaragua,9,0,1,0,4,4,0,0
195,Turks and Caicos,9,0,1,0,0,8,0,62
196,Vatican City,8,0,0,0,2,6,0,0
197,Mauritania,7,0,1,0,2,4,0,496
198,St. Barth,6,0,0,0,4,2,0,0
199,Western Sahara,6,0,0,0,0,6,0,0
200,Burundi,5,0,0,0,0,5,0,0
201,Falkland Islands,5,0,0,0,1,4,0,137
202,Bhutan,5,0,0,0,2,3,0,1166
203,Sao Tome and Principe,4,0,0,0,0,4,0,19
204,South Sudan,4,0,0,0,0,4,0,0
205,Timor-Leste,4,2,0,0,1,3,0,0
206,Anguilla,3,0,0,0,1,2,0,0
207,British Virgin Islands,3,0,0,0,2,1,0,0
208,Caribbean Netherlands,3,0,0,0,0,3,0,10
209,Papua New Guinea,2,0,0,0,0,2,0,72
210,Saint Pierre Miquelon,1,0,0,0,0,1,0,0
211,Yemen,1,0,0,0,0,1,0,0
